date,title,name,group,impact,description,image,caption
1989-04-28,北京市高校學生自治聯合會宣布成立,北京市高校學生自治聯合會（簡稱「北高聯」 ）成立，並提出「與政府直接對話」等七項要求。對話方案包括：保障學生不會受到校方或政府迫害，必須公正評價今次學運，徹查「四‧二○」事件及澄清新華社的歪曲報導。  「北高聯」提出「與政府直接對話」等七項要求，包括：  一．正面肯定胡耀邦政績，肯定民主自由。  二．否定「反自由化」和「清污」兩個運動。  三．要求公佈國家高幹及其家屬的財產狀況。  四．要求新聞自由，允許民間辦報。  五．增加教育經費，提高知識分子待遇。  六．取消對遊行的限制。  七．真實報導今次學運。,学运领袖,5,,,
1989-04-29,國務院官員首次與學生代表對話,官方：4月29日，國務院發言人袁木和國家教委副主任何東昌跟全國學聯邀請的學生對話，袁木在會上轉達李鵬的說話，表示「四‧二六」社論並非針對廣大同學。 吾爾開希因被禁發言而退席，北高聯不承認是次對話。30日，趙紫陽從平壤返京。 ,中国政府,5,,,
1989-04-30,北京市市長陳希同等與十六間高校二十九位學生座談,北京市委書記李錫銘、副書記汪家鏐、市長陳希同與十六間高校二十九位學生座談，電視台晚上報導座談實況。,中国政府,5,,,
1989-05-01,「北高聯」發表「告香港同胞書」,學生：5月1日，北高聯發表《致香港同胞書》，呼籲香港市民支持學運；香港學聯宣布成立「中國民主基金」，發動籌款活動。  「北高聯」舉行記者招待會，發表「致全國各階層各界人士聲明書」、「告香港同胞書」，呼籲齊心支持學運，並要求政府坦誠、平等、開放對話，決定「五‧四」大遊行，重申「七條」要求。,学运领袖,5,,,
1989-05-02,「北高聯」學生代表向中共中央遞交請願書,「北高聯」學生代表向人大常委會、國務院及中共中央遞交請願書，提出對話十二項先決條件，若五月三日中午前未答覆，將於五月四日示威遊行。 上海市舉行萬人集會。 ,学运领袖,5,,,
1989-05-03,學生決定舉行紀念五‧四運動七十周年遊行,國務院發言人袁木在記者會上拒絕學生對話要求，視北京高校聯為非法組織，並指學生背後有「黑手」。但又說不會進行鎮壓。學生決定五月四日舉行紀念五‧四運動七十周年遊行。 ,普通学生,5,,,
1989-05-04,「五四運動」70周年紀念，10多萬學生遊行至天安門廣場。,"學生藉「五四運動」70周年再度發起大遊行，全國響應。學運漸轉化為要求新聞自由、打擊貪污及繼續推行改革開放的民主運動。香港13間大專院校首次聯手舉行集會遊行，聲援北京學運，出席學生約3,000人，市民則有2,000人。",普通学生,5,,,
1989-05-05,大部分學生停止罷課,三十間高校代表經過選舉，選出與政府對話的代表團，要求早日與政府對話。官方新聞媒介廣泛報道學潮消息。,普通学生,5,,,
1989-05-06,學生向中共中央遞交請願書，要求對話,「北京高校學生對話代表團」向中共中央、人大常委及國務院遞交請願書，要求盡快對話，並提出唯一條件是允許記者採訪，並全面真實報導對話過程。,学运领袖,5,,,
1989-05-07,學生訂出對話綱領，要求正確評價這次學運和深化改革,蘇紹智、方勵之、冰心等紛紛發表講話，高度讚揚這次學運所取得的成果。學生訂出對話綱領，要求正確評價這次學運和深化改革。,学运领袖,5,,,
1989-05-08,趙紫陽說，決心推行經濟和政治改革,「北京高校學生對話代表團」到國務院信訪局等候對話時間安排，未獲官方確實答覆。趙紫陽說，決心推行經濟和政治改革。,中国政府,5,,,
1989-05-09,北京新聞工作者要求與中央領導人對話,學生：5月9日，逾千名新聞記者和編輯向全國記者協會請願，要求與主管宣傳的領導對話，討論《世界經濟導報》遭禁制事件，擴大新聞自由，學生到場聲援。,民间社会,5,,,
1989-05-10,北京近萬學生騎自行車遊行,北京近萬學生騎自行車遊行，沿途高呼：「新華社，講真話！」「解除報禁」等口號。,普通学生,5,,,
1989-05-11,「北高聯」決定五月十五日戈爾巴喬夫訪華時舉行大遊行,「北高聯」決定五月十五日戈爾巴喬夫訪華時舉行大遊行。學生致函戈爾巴喬夫，邀請他在訪問北京期間到北京大學校園發表演說。,学运领袖,5,,,
1989-05-12,中共當局對學生提出的對話要求採取拖延手法,袁木在新聞發佈會上表示高校學生在戈爾巴喬夫訪華期間遊行，政府會繼續採取之前的正確態度和措施，予以妥善解決。 中共當局雖然沒有採用高壓手段來對付參與「四．二七」及「五．四」兩次大遊行的學生，但對學生提出的對話要求，卻採取拖延手法，並堅決不承認「北高聯」的地位。,中国政府,5,,,
1989-05-13,絕食第1天：學生在天安門廣場發起無限期絕食行動,"學生有感遊行及罷課無效，便趁蘇聯共產黨總書記戈爾巴喬夫訪華期間將行動升級，於5月13日下午4時起，在天安門廣場絕食請願。 開始絕食時，有2,000多名學生參加，其後陸續有學生、市民加入，使絕食人數增至3,000餘人。「絕食乃不得已而為之，也不得不為之。我們以死的氣概，為了生而戰。」　──北京高校學生《絕食書》",普通学生,5,,,
1989-05-14,絕食第2天：十多萬工人、農民和知識分子到廣場聲援學生,"絕食學生增至3,000人，因絕食感到不適的學生送院救治。國家教委主任李鐵映等凌晨到廣場勸學生返校無效。統戰部長閻明復對學生說，要中央否定「四‧二六」社論目前是不可能的。十多萬工人、農民和知識分子到廣場聲援學生。 ",民间社会,5,,,
1989-05-15,絕食第3天：戈爾巴喬夫抵京訪問，原定在天安門廣場舉行的歡迎儀式臨時改在機場舉行。,蘇共總書記戈爾巴喬夫訪華，國家主席楊尚昆改在機場迎接，顯示政府置學生於不顧、不肯讓步的態度。然而，絕食學生卻獲得廣大市民同情，中國知識界、中國社會科學院、中國作家協會團體紛紛列隊到天安門廣場聲援學生。,中国政府,5,,,
1989-05-16,絕食第4天：絕食行動更升級為絕水絕食，不支倒地學生超過300人,絕食一天天的過去，但政府仍然毫不心軟，沒有尋求解決辦法，沒有正視學生所提出的要求，以致事態日益嚴重。 5月16日絕食行動更升級為絕水絕食行動，不支倒地的學生已超過300人。 北京各界目睹學生為中國的前途在廣場捱餓，而政府卻不聞不問，無不悲憤莫名，上街遊行，聲援學生，呼籲政府從速與學生對話。,普通学生,5,,,
1989-05-17,絕食第5天：中共總書記趙紫陽肯定學運是愛國，並聲言絕不「秋後算賬」,香港六間大專院校罷課一天，支持北京學運。嚴家其、包遵信、李南友等知識分子發表《五‧一七宣言》，痛斥政府對學生絕食麻木不仁。 趙紫陽發表書面談話，要求學生停止絕食，表示絕不對學生「秋後算賬」。聲援學生行動達到高潮，各界遊行隊伍達到百多萬人，要求鄧小平、李鵬辭織。運動蔓延至十多個省會。 ,中国政府,5,,,
1989-05-18,絕食第6天：李鵬會見絕食學生代表,李鵬會見絕食學生代表，聲言政府和黨中央都沒有說過學生在搞動亂，但又稱北京已陷入無政府狀態，結果雙方不歡而散。一百萬群眾繼續遊行聲援學生；各界知名人士緊急呼籲對話。 ,中国政府,5,,,
1989-05-19,絕食第7天：趙紫陽含淚道歉：「我們來了，但太晚了，對不起！」,凌晨，總書記趙紫陽、國務院總理李鵬到天安門廣場慰問絕食學生。趙紫陽含淚道歉，連說來得太晚了： 「我們來了，但太晚了，對不起！」他的誠懇態度令學生在當晚結束絕食，改以靜坐形式請願，學潮平息無疑露出一線曙光。,中国政府,5,,https://i.imgur.com/uzuFySm.jpg,
1989-05-20,絕食第8天/戒嚴第1天：李鵬將學運定為動亂,凌晨，中央電視台播出李鵬在黨政軍機關幹部大會上的講話，稱北京已陷入無政府狀態，將學運定為「動亂」，宣佈當日上午10時起在北京部分地區實施戒嚴，並進行新聞封鎖。學生即時宣佈廣場20萬人大絕食抗議。,中国政府,5,,,
1989-05-21,戒嚴第2天：十萬軍隊圍著北京城；香港百萬人遊行聲援北京學生,十萬軍隊圍著北京城，但未能衝破群眾和學生的血肉長城進入京城。同時，學生發布「告全國人民書」，呼籲人大常委會派代表直接對話。 戒嚴部隊指揮部發佈「告北京市民書」，強調軍隊入城是為了維護首都治安，不是對付學生。,民间社会,5,https://www.alliance.org.hk/,,
1989-05-22,戒嚴第3天：戒嚴部隊與市民學生發生衝突，各有二十多人受傷,豐台入城的戒嚴部隊與市民學生發生衝突，各有二十多人受傷。 雖然戒嚴部隊於5月23後撤，但領導層內的頑固派不斷表態，支持「鄧李楊集團」的鐵腕鎮壓手段，使形勢越趨緊張，軍隊暗中入城的傳聞無日無之，堵截軍隊的市民疲於奔命，「狼來了」的驚嚇也使學生惶惶不可終日。 ,民间社会,5,,,
1989-05-23,戒嚴第4天：北京百萬人大遊行，2萬多名工人和學生組成「敢死隊」保衛學生,一百萬學生、幹部及市民不顧戒嚴令，參加遊行。新華社及中央電視台報導遊行實況。  在廣場內靜坐請願的學生，對於是留下還是撤離出現很大矛盾，內部意見亦非常分歧。部分學生認為是撤離的時候，不能將運動拖得太長，以致苦了積極支援學運的北京市民，而且撤離後還可以轉換其他深化的形式爭取民主。  但持相反意見的學生，則認為撤離等於沒有結果，而且容易被當局秋後算賬。既然如此，倒不如靜坐請願，堅持到底，直至6月20日人大常委開會為止。  經表決後，堅持靜坐的一派佔優，繼續留而不撤。堅持靜坐的學生，除了部分是北京的高校學生外，絕大多數是從外地前來支援的學生。  來自湖南3名青年喻東嶽、余志堅、魯德成，將標語「五千年專制到此可以告一段落」、「個人崇拜從今可以休矣」張貼於天安門城樓的門洞旁，並將盛滿顏料的蛋殼扔向毛澤東畫像，3人被以「反革命破壞」罪和「反革命宣傳煽動」罪判處有期徒刑20年、無期徒刑及有期徒刑16年。,民间社会,5,,,
1989-05-24,戒嚴第5天：廣場學生舉行宣誓大會,中國七個軍區，除北京軍區外，其餘六個均表示支持楊尚昆和李鵬。人大委員長萬里「因病」縮短訪美行程，由華盛頓啟程返國。廣場學生舉行宣誓大會。 ,普通学生,5,,,
1989-05-25,戒嚴第6天：「打倒李鵬，解除戒嚴令！」,北京的學生、新聞工作者、工人及幹部共約一百萬人，再次在戒嚴令下遊行示威，高呼：「打倒李鵬，解除戒嚴令！」廣場十萬學生討論去向，交流意見堅持繼續靜坐請願。  官方：5月25日，李鵬在宣布戒嚴令後第6天首次公開露面。而曾肯定學潮是愛國運動的人大委員長萬結束加拿大訪問回國，卻以健康理由暫住上海，沒有回北京。26日，中共中央顧問委員會表決支持李鵬及楊尚昆的戒嚴措施。,民间社会,5,,,
1989-05-26,戒嚴第7天：「天安門廣場指揮部」總指揮柴玲宣佈堅守廣場,中央下達文件，列出趙紫陽的罪狀。陳雲主持中顧委會議，支持李鵬和楊尚昆。北京市區治安、交通，供應恢復正常。 「天安門廣場指揮部」總指揮柴玲宣佈堅守廣場。  學生：26日，香港學聯再派代表攜帶90萬元以及醫療物資、資訊設備、禦寒用品等，給予北京絕食學生。,中国政府,5,,,
1989-05-27,戒嚴第8天：學生號召舉行「全球華人大遊行」,北京市民要求李鵬下台。學生代表與首都各界聯席會議於晚上召開記者會宣佈五月三十日撤離廣場，號召五月二十八日舉行一次「全球華人大遊行」。人大委員長萬里發表書面談話，稱許學生愛國熱情，同意李鵬「五‧一九」講話。香港演藝界舉行十二 小時馬拉松音樂會「民主歌聲獻中華」，三十萬市民參加，籌得 一千二百萬元支持北京學生。澳州數千名來自中、港、台等地的留學生及當地居民遊行。,民间社会,5,,,
1989-05-28,戒嚴第9天：全球各地華人舉行大遊行。香港一百五十萬人參加遊行支持學運,在北京，「全球華人大遊行」約有十萬學生、市民參加。絕大部分外地進京學生和部分北京學生堅持靜坐至六月二十日人大常委召開才撤離。 全球各地華人舉行大遊行。香港一百五十萬人參加遊行，支持學運。,民间社会,5,,,
1989-05-29,戒嚴第10天：中央美術學院等6所院校學生，趕製民主女神像,為了激勵士氣，中央美術學院等 6所院校學生，於5月29日晚上趕製成一座民主女神像，分4個部分連夜送往天安門廣場，經過 16 小時的裝嵌加工，民主女神像終於在天安門廣場豎立。引來十多萬人圍觀。,普通学生,5,,,
1989-05-30,戒嚴第11天：民主女神像豎立在天安門廣場,民主女神像於天安門廣場豎立，官方發文狠批。在6月4日的武力清場中，女神像遭坦克推倒輾毀。 另外，三名工人領袖先後被公安人員拘捕。,普通学生,5,,,
1989-05-31,戒嚴第12天：當局策動下組織了反學運遊行,官方：北京市郊約三千工人、農民和學生在當局策動下，組織了反學運遊行，高喊：「支持李鵬」的口號，並燒方勵之的人像。,中国政府,5,,,
1989-06-01,戒嚴第13天：學生向政府提出對話四項條件,北高聯、外高聯及天安門廣場指揮部發表聯合聲明，提出對話的四項條件：1.解除戒嚴令；2.撤回軍隊；3.保證不以任何形式向參加是次民主運動的人進行報復；4.取消新聞封鎖。 北京巿政府副秘書長丁維峻公布戒嚴令期間，港澳台及外國記者在京採訪要遵守北京巿政府的七點說明，並劃定天安門廣場為禁區。 港支聯、港記協發表聲明，抗議北京禁制採訪，並關注採訪記者的安全。  香港南區六千居民遊行，聲援北京學運。港大校長王賡武贊同北京學運是愛國運動。  五百華裔美籍專業人士在《紐約時報》刊出全版廣告，呼籲捐款及支援中國民運。,学运领袖,5,,,
1989-06-02,戒嚴第14天：民主大學，6月2、3日，軍隊分批秘密進城，包圍廣場一帶,學生開辦「民主大學」 ，爭取中國邁向民主之路。作曲家侯德健、北師大講師劉曉波、原北大講師周舵、《北師大週報》前主編高新在紀念碑前開始七十二小時絕食行動，發表 《六二絕食宣言》 ，要求成立合法的民間組織，形成制衡的政治力量。支聯會赴京代表團團長李卓人抵京商討送捐款事宜。晚上，西長安街木樨地一輛軍用吉普車高速飛馳衝上行人道，撞倒四人，至少兩人當場死亡。6月2、3日，軍隊分批秘密進城，包圍了廣場一帶。,普通学生,5,,,
1989-06-03,戒嚴第15天：戒嚴部隊進城，大開殺戒，死傷無數。軍隊阻止民眾送受傷市民入院急救,凌晨2時，逾萬軍隊由西向東推進。軍隊全身穿白恤衫、綠色軍褲，不帶軍帽，年齡都在二十歲左右。當他們來到北京飯店前，即被警覺的民眾發現，馬上群起把他們攔截。十多萬學生、民眾強拉硬扯，喊著：「回去，回去！」終於使一萬名沒有攜帶武器的青年軍人後撤。  約在同一時間，四輛運載便衣軍人和武器的旅遊巴士企圖由西單向東駛向天安門廣場，被群眾發覺，將車截停，留學生登上巴士時，赫然發覺麻包袋內裝的是衝鋒槍、手榴彈、步槍和防毒面具等武器，於是將這些武器搬上車頂，向群眾展示，揭露當局運送武器入城，有計劃地要鎮壓學生。這個公展，一直至天亮以後。  上午，超過一百萬市民跑到長安街一帶，在各路架設路障，堵截入城的軍隊。  下午2時，當局為奪回被群眾截獲的旅遊巴上的軍械，六部口、新華門突然衝出大批公安武警、軍隊，分別手執衝鋒槍、木棍和電棒，向群眾跑去，施放催淚彈和塑膠子彈，木棍、電棒齊下，造成四十多市民受傷。這次開槍，是當局鎮壓的第一槍。  下午3時，從人民大會堂西部湧出逾萬頭戴鋼盔的軍人，準備加入鎮壓群眾，但被勇敢的民眾包圍，雙方發生衝突，各有多人受傷。最後，軍隊撤回人民大會堂。  晚上10時，復興門外軍隊被數萬計的民眾阻截，即向民眾亂槍掃射，死傷無數。  戒嚴部隊雖然大開殺戒，但北京市民仍然湧往天安門廣場，誓死保衛學生。而廣場上仍有大群學生堅持靜坐。  晚上10時，廣場的民主大學正式開業，副總指揮張德利任民主大學校長。  全國人大辦公廳發言人諉稱學生佔據廣場，情勢混亂，6月20日的人大常委會議很難正常舉行。  傍晚6時以後，北京市政府戒嚴部隊指揮部不斷透過電台、電視台發出三項緊急通告，呼籲市民不要上街，軍隊將採取一切手段，排除阻擋。  全港市民支援愛國民主運動聯合會在深夜就北京血腥鎮壓民運發出緊急號召，呼籲市民參加明日(4日)「黑色大靜坐」，以抗議北京的暴力鎮壓。,中国政府,5,,https://i.imgur.com/DN47Qmf.jpg,
1989-06-04,戒嚴部隊繼續向學生、民眾開槍，傷亡人數無法估計,凌晨零時15分，兩部裝甲車在天安門廣場前的東西長安街飛馳，剷去由群眾架設的路障。最初，學生、群眾手挽手試圖以血肉長城來阻截瘋狂的裝甲車，結果裝甲車仍以高速衝前，一些走避不及的民眾慘被撞死、壓死，就連架設路障的巴士，上面坐著被堵截了的解放軍也不倖免，因為巴士亦被裝甲車撞翻。  經過瘋狂裝甲車掃除路障後，戒嚴部隊源源開入廣場，潛伏在人大會堂和歷史博物館等建築物內的軍隊亦湧現出來，並不時向近距離的群眾開槍。  凌晨1時，天安門廣場上空間歇性出現曳光彈，也傳來斷斷續續的槍聲。  凌晨2時，廣場已被戒嚴軍包圍。坦克車、裝甲車隆隆開進。其時，堅守廣場的學生、市民約有近萬人。正在廣場內絕食的侯德健，為免過多人流血，步往天安門廣場的軍隊指揮部要求給予時間讓學生撤出廣場。其後，獲得軍方「允許」，侯折返紀念碑前，聲淚俱下地懇求學生莫作無謂犧牲。最後，學生向軍隊讓開的一個小缺口撤退，就在此時，廣場的燈全部熄滅，坦克車直衝向紀念碑，橫衝直撞的將營幕摧毀、壓平，也不理營幕內熟睡、靜坐的學生，便將他們輾為肉醬。而軍隊則架起機關槍，向紀念碑亂掃，死傷枕藉，數量難以估計。天亮，戒嚴軍將廣場封鎖，數百輛坦克車和裝甲車排成方陣，而軍隊一面列陣駐守，一面清洗廣場，焚燒已不能走動的物體，直昇機則不時降下廣場，將一綑綑的物體運載離去。執行大屠殺，血洗天安門的戒嚴軍據稱是第二十七軍，他們事後清洗血污，並企圖燒屍滅跡。清晨，三十多輛裝甲車和一批運輸卡車在木樨地被遺棄，憤怒的市民放火將裝甲車和運輸車燒毀。  白天，軍隊仍向街上的民眾開槍，而勇敢的北京人繼續高喊反軍隊、反政府的口號，並向巡邏的軍隊投擲磚石。  統計大屠殺死難者的數字目前還不是時候，但保守估計也有二千六百人，暫時最大的估計數字則達七千人。而此一大屠殺事件，可稱之為「六四大慘案」。  慘案發生時，十多名香港的大學生亦留在廣場內，除兩人受輕傷外，各人均安然撤出廣場。當開始撤離時，部分同學是在北京學生的保護下撤退，而且被安排先行離去。  台灣《中國時報》記者徐宗懋在採訪時，混亂中後腦中彈，送院救治。  北京大屠殺消息傳至上海，上午7時，學生和群眾在各交通要道設置路障，使十條巴士線被迫停駛，六十多條線受嚴重影響，以致上海交通陷於癱瘓。一些巴士車身，更被塗上「反對暴力鎮壓」、「機槍掃射、坦克輾壓、滅絕人道」等反政府的標語。  二十萬香港市民身穿黑衣素裳，齊集跑馬場，舉行「黑色聲討大會，黑色大靜坐」，哀悼北京的死難者，聲討北京當局血腥屠殺愛國學生和群眾。會上，不少市民痛哭失聲，場面悲壯。  集會後，群眾遊行往中環遮打花園。  下午2時和晚上8時，全港車輛和輪船一齊響號，以抗議北京的暴力鎮壓。香港新華社前副秘書長何銘思抗議北京血腥鎮壓，宣布退出共產黨。  香港區人大代表鄭耀棠、吳康民、徐是雄、汪明荃、唐治安、陸達兼抗議血腥暴行。香港各界人士和團體，紛紛發表聲明，憤怒譴責北京當局大屠殺。港督衛奕信、兩局首席議員鄧蓮如、李鵬飛對北京政府的暴力鎮壓表示深切的震驚和悲痛。香港的《文匯報》、《大公報》、《星島晚報》、《新晚報》等各大報章的版頭社名均套以黑色，以表示哀悼北京死難者。  澳門約有十五萬市民集會哀悼北京死難同胞，聲討北京血腥鎮壓。大會又當場燃燒鄧小平、楊尚昆、李鵬的假人。  南京約有十萬學生，武漢有逾萬學生，遊行抗議血腥鎮壓。長沙、西安亦有遊行示威。  國民黨主席李登輝出席臨時記者招待會，發表聲明，烈譴責中共血腥屠殺人民的瘋狂行動。並呼籲全球對中共給予最嚴厲的譴責。國民黨十三屆二中全會亦發表了嚴厲聲明。東京有一萬二千中國留學生和華僑進行示威遊行，抗議北京政府的血腥暴行。法國、比利時、美國、瑞典等地，均有中國留學生、華僑示威遊行，抗議北京政府殘酷殺害同胞。美國總統布殊對北京政府的暴力行為表示痛惜。英國首相戴卓爾夫人對北京的鎮壓事件深感震驚。法國外長則譴責北京政府的暴行。,中国政府,5,,,
1989-06-05,“王維林”隻身攔截一隊坦克車；各地華人示威遊行，抗議血腥鎮壓,軍隊仍在天安門廣場駐守，市民在街上遇到駐紮的軍隊時，仍高喊反軍管、反政府的口號。  這一天，北京青年王維林（注：王维林是英国记者编的化名，真名未知）隻身攔截一隊坦克車，更一度攀上領前的坦克車。北京形勢惡劣，各國紛紛撤僑。香港亦派出專機運送滯京的學生、記者等返港。支聯會代表團團長李卓人在登機後，被公安人員帶離航機。  香港支聯會將6月7日定為「死難同胞哀悼日」，並發起罷工、罷課、罷巿三行動，哀悼死難同胞，聲討北京血腥鎮壓。  憤怒的巿民為抗議中共的血腥暴行，湧往中資銀行提款，致使部分中資銀行出現擠提。下午，經過各界知名人士呼籲，請巿民冷靜，莫使香港經濟受波動，影響安定和繁榮，擠提人龍才告減退。  香新華社門前設露天靈堂，數以萬計巿民前往致哀和簽署弔唁冊。  近萬名天主教、基督教徒於下午4時，由遮打花園遊行至新華社門前致哀，隨後再遊行往維園。  下午，新華社部分職工亦在門前向首都死難者默哀，不少員工痛哭失聲。  廣東省人大香港區代表通過決議，譴責北京當權者的血腥暴行。  在港政協委員舉行緊急會議，烈譴責北京當權者的屠殺暴行。  晚上，港支聯發表聲明，不承認鄧小平、楊尚昆、李鵬的法西斯政權。  港督邀晤許家屯社長，要求確保在京港人安全。  澳門中資銀行前亦出現擠提人龍。同時，澳門亦設靈堂讓同胞致祭。  北京大屠殺，世界各國繼續譴責。,普通学生,5,,https://i.imgur.com/78MpxIM.png,
